X,Y
-947193.3253101,2305640.4949304
-959193.3253101,2307140.4949304
-890193.3253101,2351640.4949304
-631193.3253101,2329140.4949304
-858193.3253101,2243640.4949304
-871693.3253101,2294640.4949304
-1027693.3253101,2302640.4949304
-1018693.3253101,2296140.4949304
-805193.3253101,2348140.4949304
-794193.3253101,2247140.4949304
-927693.3253101,2424140.4949304
-814193.3253101,2277140.4949304
-916193.3253101,2227640.4949304
-825193.3253101,2271140.4949304
-776193.3253101,2226640.4949304
-901693.3253101,2252140.4949304
-716193.3253101,2346140.4949304
-817693.3253101,2354640.4949304
-717193.3253101,2241140.4949304
-789693.3253101,2261640.4949304
-741693.3253101,2264640.4949304
-785193.3253101,2351140.4949304
-759193.3253101,2236640.4949304
-797693.3253101,2377640.4949304
-850693.3253101,2437140.4949304
-829693.3253101,2437640.4949304
-658693.3253101,2313140.4949304
-735693.3253101,2231140.4949304
-729193.3253101,2248640.4949304
-1003193.3253101,2277640.4949304
-822193.3253101,2406640.4949304
-888693.3253101,2365640.4949304
-875693.3253101,2274640.4949304
-937193.3253101,2298640.4949304
-764193.3253101,2326140.4949304
-701693.3253101,2309640.4949304
-873693.3253101,2399140.4949304
-717693.3253101,2310140.4949304
-760693.3253101,2292140.4949304
-921693.3253101,2381640.4949304
-998693.3253101,2224640.4949304
-952693.3253101,2243140.4949304
-987693.3253101,2232140.4949304
-856693.3253101,2303640.4949304
-912193.3253101,2446140.4949304
-912693.3253101,2269640.4949304
-913693.3253101,2281140.4949304
-860193.3253101,2432140.4949304
-1029193.3253101,2328640.4949304
-964693.3253101,2277640.4949304
