XCOORD,YCOORD
-847955.192398708,2528244.13417091
-911952.027841746,2509282.10885445
-884694.116449341,2478468.81771521
-919062.787335417,2468987.80505698
-877583.35695567,2465432.42531015
-812401.394930354,2452396.03290508
-958171.964550607,2432248.88100635
-916692.53417086,2425138.12151268
-828993.167082252,2419212.48860129
-901285.88860124,2410916.60252534
-768551.71138605,2409731.47594306
-856251.078474657,2388399.19746205
-851510.572145543,2388399.19746205
-961727.344297442,2382473.56455065
-805290.635436683,2382473.56455065
-916692.53417086,2377733.05822154
-964097.597461999,2372992.55189242
-915507.407588581,2362326.41265192
-866917.217715164,2358771.03290508
-879953.610120227,2343364.38733546
-740108.673411366,2342179.26075318
-682037.470879721,2339809.00758863
-974763.736702505,2336253.62784179
-682037.470879721,2330327.9949304
-833733.673411366,2329142.86834812
-796994.749360733,2326772.61518356
-1023353.92657592,2319661.85568989
-981874.496196176,2316106.47594306
-919062.787335417,2314921.34936078
-978319.116449341,2311365.96961394
-778032.724044278,2311365.96961394
-997281.141765796,2307810.58986711
-767366.584803771,2304255.21012027
-920247.913917695,2300699.83037344
-938024.812651872,2284108.05822154
-952246.331639214,2269886.5392342
-911952.027841746,2265146.03290508
-838474.17974048,2261590.65315825
-879953.610120227,2258035.27341141
-1009132.40758858,2250924.51391774
-870472.597461999,2250924.51391774
-887064.369613898,2243813.75442407
-1004391.90125947,2237888.12151268
-1025724.17974048,2235517.86834812
-866917.217715164,2234332.74176584
-954616.584803771,2233147.61518356
-898915.635436682,2230777.36201901
-857436.205056936,2229592.23543673
-915507.407588581,2226036.85568989
-778032.724044278,2226036.85568989
